data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
08CT,SEAVAIR'S LANDING SPB,WINSTED,CONNECTICUT,BDR,ZBW
08D,STANLEY MUNI ARPT,STANLEY,NORTH DAKOTA,GFK,ZMP
08F,CITY OF COALGATE ARPT,COALGATE,OKLAHOMA,MLC,ZFW
08FA,DUDA AIRSTRIP ARPT,LA BELLE,FLORIDA,MIA,ZMA
08FD,SUNNILAND RANCH ARPT,OKEECHOBEE,FLORIDA,PIE,ZMA
08FL,J H HENDRIE FARMS ARPT,LAKE PLACID,FLORIDA,PIE,ZMA
08GA,SAPELO ISLAND ARPT,DARIEN,GEORGIA,MCN,ZJX
08ID,SYMMS ARPT,MARSING,IDAHO,BOI,ZLC
08II,PARKVIEW LAGRANGE HOSPITAL HELIPORT,LAGRANGE,INDIANA,HUF,ZAU
08K,HARVARD STATE ARPT,HARVARD,NEBRASKA,OLU,ZMP
08KS,ALDERSON ARPT,BENNINGTON,KANSAS,ICT,ZKC
08KT,METHODIST HEALTH HELIPORT,MORGANFIELD,KENTUCKY,LOU,ZID
08KY,BOSS ARPT,BURNSIDE,KENTUCKY,LOU,ZID
08LA,AIR OIL INC  NR 2 HELIPORT,HARAHAN,LOUISIANA,DRI,ZHU
08LL,SAUER ARPT,DWIGHT,ILLINOIS,IKK,ZAU
08LS,AELERON ARPT,GRAND COTEAU,LOUISIANA,DRI,ZHU
08M,CARTHAGE-LEAKE COUNTY ARPT,CARTHAGE,MISSISSIPPI,GWO,ZME
08MD,ST JOSEPH HOSPITAL HELIPORT,TOWSON,MARYLAND,DCA,ZDC
08ME,LINDBERGH ARPT,AVON,MAINE,BGR,ZBW
08MI,SPARROW HOSPITAL HELIPORT,LANSING,MICHIGAN,LAN,ZOB
08MN,CHRISTENSON POINT SPB,CHISHOLM/HIBBING,MINNESOTA,PNM,ZMP
08MO,TWIN OAKS ARPT,JASPER,MISSOURI,COU,ZKC
08MS,MIDSOUTH AIRPARK ARPT,COLDWATER,MISSISSIPPI,GWO,ZME
08MT,MATOVICH ARPT,GRASS RANGE,MONTANA,GTF,ZLC
08N,KELLER BROTHERS ARPT,LEBANON,PENNSYLVANIA,IPT,ZNY
08NC,WHITEHEART FARM ARPT,LEWISVILLE,NORTH CAROLINA,RDU,ZTL
08ND,BRECHT STRIP ARPT,GOLDEN VALLEY,NORTH DAKOTA,GFK,ZMP
08NH,MEML HOSPITAL HELIPORT,NORTH CONWAY,NEW HAMPSHIRE,BGR,ZBW
08NJ,ST BARNABAS MEDICAL CENTER HELIPORT,LIVINGSTON,NEW JERSEY,MIV,ZNY
08NR,BELL MOUNTAIN ARPT,ZIRCONIA,NORTH CAROLINA,RDU,ZTL
08NY,MD1 ARPT,MIDDLETOWN,NEW YORK,ISP,ZNY
08OH,KENLEY ARPT,HARTFORD,OHIO,CLE,ZOB
08OK,PARKS ARPT,WILBURTON,OKLAHOMA,MLC,ZFW
08OL,BROKEN B ARPT,HYDRO,OKLAHOMA,MLC,ZFW
08OR,SAXON SYCAN ARPT,SILVER LAKE,OREGON,MMV,ZSE
08PA,POCONO RACEWAY CORPORATE HELIPORT,LONG POND,PENNSYLVANIA,IPT,ZNY
08R,RICHMOND ARPT,WEST KINGSTON,RHODE ISLAND,BDR,ZBW
08S,BAILEYS LANDING CVLN WOS,SOMMERS,MONTANA,null,null
08SC,ANMED DOWNTOWN HELIPORT,ANDERSON,SOUTH CAROLINA,AND,ZTL
08SD,DOUGLAS COUNTY MEML HOSPITAL HELIPORT,ARMOUR,SOUTH DAKOTA,HON,ZMP
08TA,RANCHO DEL LAGO HELIPORT,FISCHER,TEXAS,SJT,ZHU
08TE,EGM HELIPORT,MOUNTAIN HOME,TEXAS,SJT,ZHU
08TN,PTC ARPT,FAYETTEVILLE,TENNESSEE,BNA,ZME
08TS,FLYING G RANCH ARPT,BYNUM,TEXAS,FTW,ZFW
08TT,LZ TANGO CHARLIE ARPT,FREDERICKSBURG,TEXAS,SJT,ZHU
08TX,CROSS WIND ARPT,WEATHERFORD,TEXAS,FTW,ZFW
08U,STEVENS-CROSBY ARPT,NORTH FORK,NEVADA,RNO,ZLC
08VA,SPRINGWOOD AIRSTRIP GLIDERPORT,BUCHANAN,VIRGINIA,DCA,ZDC
08WA,P-L RANCH ARPT,LACEY,WASHINGTON,SEA,ZSE
08XA,KNOLLE RANCH ARPT,SNOOK,TEXAS,CXO,ZHU
08XS,PETERSON ARPT,OLD OCEAN,TEXAS,CXO,ZHU
08Z,GEOREF PT.,"NAWILIWILI,KAUAI",HAWAII,null,null
09A,BUTLER/CHOCTAW COUNTY ARPT,BUTLER,ALABAMA,ANB,ZME
09AA,SHELDON CHALET HELIPORT,TALKEETNA,ALASKA,ENA,ZAN
09AK,WEST BEAVER ARPT,BIG LAKE,ALASKA,ENA,ZAN
09AL,GREENE COUNTY HOSPITAL & NURSING HOME HELIPORT,EUTAW,ALABAMA,ANB,ZTL
09AR,MAGNOLIA RGNL MEDICAL CENTER HELIPORT,MAGNOLIA,ARKANSAS,JBR,ZFW
09AZ,STRONGHOLD ARPT,ST DAVID,ARIZONA,PRC,ZAB
09CA,MEE MEML HOSPITAL HELIPORT,KING CITY,CALIFORNIA,OAK,ZOA
09CL,ALTA SIERRA ARPT,GRASS VALLEY,CALIFORNIA,RIU,ZOA
09CO,COTTONWOOD FLD ARPT,SWINK,COLORADO,DEN,ZDV
09FA,PLACID LAKES ARPT,LAKE PLACID,FLORIDA,PIE,ZMA
09FD,CHERYL-LANE LANDINGS ARPT,BUSHNELL,FLORIDA,PIE,ZJX
09FL,SUNNYBREEZE ARPT,ARCADIA,FLORIDA,PIE,ZMA
09GA,SUNBELT STRIP ARPT,MOULTRIE,GEORGIA,MCN,ZJX
09GE,ELLIOTT FLD ARPT,DAWSONVILLE,GEORGIA,MCN,ZTL
09I,INTL FALLS SPB,INTERNATIONAL FALLS,MINNESOTA,PNM,ZMP
09IA,SKYDIVE IOWA ARPT,BROOKLYN,IOWA,FOD,ZAU
09ID,TAYLOR RANCH LANDING AREA ARPT,MOSCOW,IDAHO,BOI,ZLC
09IL,ST ELIZABETH'S HOSPITAL HELIPORT,O'FALLON,ILLINOIS,STL,ZKC
09IN,GORDON ARPT,COLUMBIA CITY,INDIANA,HUF,ZAU
09IS,SWEDISH AMERICAN HELIPORT,ROCKFORD,ILLINOIS,IKK,ZAU
09J,JEKYLL ISLAND ARPT,JEKYLL ISLAND,GEORGIA,MCN,ZJX
09K,SARGENT MUNI ARPT,SARGENT,NEBRASKA,OLU,ZDV
09KS,COFFMAN ARPT,WELLSVILLE,KANSAS,ICT,ZKC
09KY,BAPTIST HOSPITAL EAST HELIPORT,LOUISVILLE,KENTUCKY,LOU,ZID
09LA,ERA HELICOPTERS FOURCHON HELIBASE HELIPORT,GRAND ISLE,LOUISIANA,DRI,ZHU
09LL,PINE HILL ARPT,CAPRON,ILLINOIS,IKK,ZAU
09LS,WEST FELICIANA SHERIFF'S OFFICE HELIPORT,ST FRANCISVILLE,LOUISIANA,DRI,ZHU
09M,CHARLESTON MUNI ARPT,CHARLESTON,MISSISSIPPI,GWO,ZME
09ME,PERROTTI SKYRANCH AIRFIELD ARPT,BERWICK,MAINE,BGR,ZBW
09MI,MICHIGAN NTL GUARD HEADQUARTERS HELIPORT,LANSING,MICHIGAN,LAN,ZOB
09MN,SALISBURY SPB,WHITE BEAR TOWNSHIP,MINNESOTA,PNM,ZMP
09MO,HOGUE FARM ARPT,WILLARD,MISSOURI,COU,ZKC
09N,AIRHAVEN ARPT,STAATSBURG,NEW YORK,ISP,ZNY
09NC,WILLIAM IRVING LEWIS ARPT,BROADWAY,NORTH CAROLINA,RDU,ZDC
09NE,SUMMER HILL FARM ARPT,BENNINGTON,NEBRASKA,OLU,ZMP
09NJ,STONEBRIDGE FARM HELISTOP HELIPORT,SOMERVILLE,NEW JERSEY,MIV,ZNY
09NR,DAKOTA AIR RANCH ARPT,RAMSEUR,NORTH CAROLINA,RDU,ZTL
09NY,SPRING LAKE FIRE DEPARTMENT HELIPORT,KINGSTON,NEW YORK,ISP,ZNY
09OK,RAGTIME AERODROME ARPT,COLLINSVILLE,OKLAHOMA,MLC,ZKC
09OR,MID-COLUMBIA MEDICAL CENTER HELIPORT,THE DALLES,OREGON,MMV,ZSE
